KW22,2015-05-22T13:55:00Z,11.0,8.0,0,6,,10.0,30.221457,,,,FEW,1000,,,,,,,SPECI, AO2
KPWK,2015-05-22T13:52:00Z,12.8,2.2,50,8,,10.0,30.221457,,,,CLR,,,,,,,,METAR, AO2 SLP232 T01280022
KHHV,2015-05-22T13:55:00Z,27.0,23.0,120,10,,10.0,30.079725,,,,CLR,,,,,,,,METAR, A01
KDYR,2015-05-22T13:55:00Z,15.0,4.0,0,0,,10.0,30.318897,,,,CLR,,,,,,,,METAR, AO1
KAQW,2015-05-22T13:52:00Z,15.6,4.4,290,4,,10.0,29.861221,,,,FEW,7500,,,,,,,METAR, AO2 SLP111 T01560044
KLDM,2015-05-22T13:54:00Z,13.2,-3.1,10,4,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 T01321031
KRHV,2015-05-22T13:50:00Z,14.0,10.0,270,5,,10.0,30.008858,,,,OVC,1800,,,,,,,METAR
KEWN,2015-05-22T13:54:00Z,18.3,10.6,360,10,,10.0,30.171259,,,,FEW,2600,SCT,3300,,,,,METAR, AO2 SLP215 T01830106
KM19,2015-05-22T13:56:00Z,15.0,9.4,90,3,,10.0,30.33071,,,,CLR,,,,,,,,METAR, AO2 T01500094 SLP268
KRBL,2015-05-22T13:54:00Z,15.0,10.6,130,6,,10.0,29.970472,,,,OVC,7000,,,,,,,METAR, AO2 SLP146 T01500106
KHEZ,2015-05-22T14:15:00Z,17.0,12.0,80,7,,10.0,30.209646,,,,FEW,1500,,,,,,,METAR, AO1
KLOL,2015-05-22T13:53:00Z,10.6,8.3,0,0,,10.0,29.940945,,,,FEW,8500,,,,,,,METAR, AO2 SLP123 T01060083
KMLT,2015-05-22T13:53:00Z,13.3,6.7,0,4,,10.0,29.769686,,,,OVC,8000,,,,,,,METAR, AO2 SLP085 T01330067
KUSE,2015-05-22T13:55:00Z,15.0,-6.0,20,9,,10.0,30.171259,,,,CLR,,,,,,,,METAR, AO2
KAAT,2015-05-22T13:55:00Z,8.9,7.8,0,0,,10.0,29.97933,,,,BKN,1300,OVC,2300,,,,,METAR, AO2 SLP126 T00890078
KSHR,2015-05-22T13:53:00Z,10.0,6.7,320,3,,10.0,29.970472,,,,CLR,,,,,,,,METAR, AO2 SLP139 T01000067
KGYY,2015-05-22T13:45:00Z,14.0,8.0,350,7,,15.0,30.188976,,,,SKC,,,,,,,,METAR
KMMH,2015-05-22T13:55:00Z,3.0,3.0,0,0,,10.0,30.0,,,,OVC,2200,,,,,,,METAR, AO1
KTHA,2015-05-22T13:55:00Z,13.0,7.0,40,9,,10.0,30.301182,,,,CLR,,,,,,,,METAR,
KSPS,2015-05-22T14:05:00Z,15.0,13.9,130,12,,2.5,30.15059,,,RA BR,BKN,500,BKN,2100,OVC,3600,,,METAR, AO2 LTG DSNT SE P0004 T01500139
KBYI,2015-05-22T13:53:00Z,11.7,8.9,210,6,,10.0,29.911417,,,,OVC,7500,,,,,,,METAR, AO2 SLP105 T01170089
KFFO,2015-05-22T13:58:00Z,14.3,8.2,260,7,,10.0,30.180119,,,,CLR,,,,,,,,METAR, AO2 SLP225 T01430082
KPIE,2015-05-22T13:53:00Z,28.3,20.0,50,7,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO2 SLP191 T02830200
KBAX,2015-05-22T13:53:00Z,9.4,0.7,350,7,,10.0,30.171259,,,,CLR,,,,,,,,METAR, AO2 T00940007
KWVL,2015-05-22T14:15:00Z,16.0,7.0,220,3,,10.0,29.749016,,,,CLR,,,,,,,,METAR, AO1
